Nama Siswa,Kelas,Tahun Ajaran,Jumlah Kehadiran,Kategori Kehadiran,Nilai Rata-rata,Kategori Nilai,Jumlah Pelanggaran,Kategori Pelanggaran,Pekerjaan Orang Tua,Penghasilan Orang Tua,Status SPP,Status Orang Tua,Risiko Drop-Out
Edison Yuniar,7B,2024/2025,214,Baik,92.9,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Hasna Mansur,7A,2024/2025,226,Sangat Baik,97.1,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Amelia Wasita,7B,2024/2025,182,Kurang,79.4,Sedang,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Yatim Piatu,Sedang
Gadang Laksita,8B,2023/2024,222,Sangat Baik,76.6,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sutan Raditya Wijaya,9A,2024/2025,228,Sangat Baik,70.2,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Anggraini,7A,2025/2026,196,Kurang,81.6,Sedang,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Bakidin Wahyuni,7C,2023/2024,213,Baik,84.8,Sedang,5,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ani Widodo,9B,2024/2025,231,Sangat Baik,73.6,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Sutan Gaduh Rahimah,8C,2024/2025,228,Sangat Baik,84.8,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Tantri Wibowo,7C,2023/2024,194,Kurang,79.6,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Utama Prastuti,9C,2025/2026,226,Sangat Baik,91.4,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Umaya Lazuardi,8A,2024/2025,227,Sangat Baik,67.5,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Yusuf Situmorang,7C,2024/2025,229,Sangat Baik,94.2,Tinggi,3,Sedang/Berat,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Vicky Jailani,7B,2025/2026,183,Kurang,80.5,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Icha Mulyani,9A,2025/2026,219,Baik,85.6,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Aswani Siregar,8C,2024/2025,213,Baik,71.9,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Piatu,Sedang
Cinthia Napitupulu,7B,2024/2025,237,Sangat Baik,85.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Rendah
Hasna Hastuti,8C,2025/2026,223,Sangat Baik,97.8,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Padmi Halim,9C,2024/2025,188,Kurang,85.6,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Belinda Saptono,7C,2024/2025,218,Baik,77.6,Sedang,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Yatim Piatu,Sedang
Gangsar Prakasa,8B,2025/2026,206,Baik,73.5,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Wira Mardhiyah,7C,2024/2025,202,Baik,74.2,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Jono Kusmawati,8C,2025/2026,233,Sangat Baik,96.9,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Lidya Hasanah,7A,2025/2026,215,Baik,75.9,Sedang,1,Ringan,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Jindra Maryati,7C,2023/2024,227,Sangat Baik,83.9,Sedang,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Puji Puspasari,7B,2025/2026,180,Kurang,83.9,Sedang,2,Ringan,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Bakiman Waskita,8C,2024/2025,240,Sangat Baik,82.0,Sedang,3,Sedang/Berat,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Shakila Narpati,7B,2024/2025,212,Baik,81.9,Sedang,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Wakiman Damanik,7C,2023/2024,200,Baik,69.6,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Yono Hassanah,9B,2024/2025,232,Sangat Baik,87.3,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Caturangga Putra,9B,2023/2024,194,Kurang,91.9,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Yulia Nuraini,7B,2023/2024,222,Sangat Baik,78.6,Sedang,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Elvin Rahayu,8B,2023/2024,229,Sangat Baik,78.1,Sedang,5,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Ikhsan Hassanah,7C,2025/2026,234,Sangat Baik,93.3,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Wakiman Saragih,7B,2023/2024,181,Kurang,75.2,Sedang,3,Sedang/Berat,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Harjo Thamrin,7C,2023/2024,204,Baik,70.1,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Nova Iswahyudi,7B,2025/2026,206,Baik,79.3,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ilyas Habibi,8C,2023/2024,227,Sangat Baik,81.3,Sedang,2,Ringan,Buruh/Petani,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Dartono Andriani,9B,2025/2026,194,Kurang,82.9,Sedang,10,Sedang/Berat,Tidak Bekerja,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Wirda Usada,7A,2025/2026,189,Kurang,94.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Sutan Arsipatra Maheswara,9C,2023/2024,212,Baik,87.7,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Wani Kuswandari,8B,2023/2024,190,Kurang,69.6,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Piatu,Tinggi
Drajat Napitupulu,8C,2023/2024,209,Baik,93.1,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Dimaz Maulana,9A,2025/2026,234,Sangat Baik,72.3,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Abyasa Tarihoran,8B,2023/2024,226,Sangat Baik,69.6,Rendah,3,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Jaka Dabukke,8A,2023/2024,206,Baik,97.9,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Jabal Mangunsong,8C,2025/2026,223,Sangat Baik,70.3,Rendah,2,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Gantar Uyainah,7B,2024/2025,209,Baik,70.1,Rendah,1,Ringan,PNS/TNI/Polri,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Carub Handayani,8C,2025/2026,188,Kurang,81.0,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Digdaya Siregar,9C,2023/2024,231,Sangat Baik,85.3,Tinggi,3,Sedang/Berat,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Calista Lailasari,7A,2024/2025,196,Kurang,75.0,Sedang,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Azalea Sinaga,8C,2023/2024,228,Sangat Baik,86.3,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Kezia Prastuti,8C,2024/2025,209,Baik,87.0,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Asmadi Uyainah,7A,2023/2024,211,Baik,78.5,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Padma Prayoga,7A,2024/2025,210,Baik,83.9,Sedang,3,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tania Sihotang,8B,2025/2026,184,Kurang,87.2,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Jagaraga Wasita,9B,2023/2024,240,Sangat Baik,84.4,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Cakrawangsa Rajata,8B,2025/2026,185,Kurang,86.2,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Elma Pradana,7A,2023/2024,239,Sangat Baik,95.4,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Olivia Sirait,9C,2025/2026,229,Sangat Baik,78.1,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Zalindra Usamah,8B,2025/2026,215,Baik,96.9,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Gasti Tampubolon,7B,2024/2025,230,Sangat Baik,72.6,Rendah,5,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim Piatu,Tinggi
Jessica Firgantoro,7B,2023/2024,182,Kurang,82.8,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Teddy Nashiruddin,7C,2024/2025,199,Kurang,91.3,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Sedang
Ikin Suryono,9B,2024/2025,204,Baik,93.2,Tinggi,3,Sedang/Berat,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Ajimin Hassanah,7A,2024/2025,195,Kurang,90.6,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Kayun Mayasari,9C,2023/2024,219,Baik,78.1,Sedang,2,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Damar Pradipta,9B,2024/2025,228,Sangat Baik,79.3,Sedang,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rama Sirait,7A,2024/2025,240,Sangat Baik,92.3,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Fathonah Simanjuntak,9A,2023/2024,187,Kurang,94.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Aswani Handayani,7A,2023/2024,183,Kurang,77.4,Sedang,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Wahyu Haryanti,7C,2023/2024,180,Kurang,68.8,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Amalia Wijaya,7A,2024/2025,186,Kurang,78.9,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Kamila Usamah,8C,2025/2026,196,Kurang,88.8,Tinggi,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Rahmi Wulandari,7A,2025/2026,204,Baik,80.1,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Rachel Rajata,8C,2025/2026,205,Baik,85.7,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Aslijan Simbolon,8A,2023/2024,201,Baik,84.5,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Wardi Nasyiah,9A,2024/2025,235,Sangat Baik,86.7,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Yunita Widodo,7A,2025/2026,220,Sangat Baik,72.7,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ozy Suartini,7C,2024/2025,213,Baik,66.3,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Vega Agustina,8C,2024/2025,192,Kurang,78.1,Sedang,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Agnes Permadi,7B,2023/2024,213,Baik,65.4,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Jamalia Oktaviani,9A,2023/2024,210,Baik,75.1,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Diana Pertiwi,7A,2025/2026,207,Baik,81.5,Sedang,10,Sedang/Berat,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Queen Yuliarti,7A,2023/2024,195,Kurang,89.5,Tinggi,3,Sedang/Berat,Tidak Bekerja,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tari Hutasoit,7C,2023/2024,201,Baik,72.9,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Endra Suartini,9B,2023/2024,192,Kurang,77.3,Sedang,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Yatim,Sedang
Ika Zulaika,9C,2025/2026,228,Sangat Baik,71.6,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ilyas Tamba,7A,2025/2026,186,Kurang,96.1,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim Piatu,Sedang
Kiandra Rajasa,8C,2024/2025,190,Kurang,92.6,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Yosef Mangunsong,9C,2023/2024,203,Baik,78.8,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Zelaya Nasyidah,8A,2025/2026,232,Sangat Baik,80.6,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Puti Genta Halimah,8C,2025/2026,193,Kurang,66.2,Rendah,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Belinda Palastri,8C,2024/2025,219,Baik,90.3,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Iriana Wijayanti,8C,2024/2025,235,Sangat Baik,84.9,Sedang,3,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Prayoga Nasyidah,9A,2025/2026,228,Sangat Baik,71.9,Rendah,2,Ringan,Buruh/Petani,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Jindra Salahudin,8A,2025/2026,182,Kurang,83.5,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Asirwada Yuliarti,7B,2023/2024,229,Sangat Baik,70.3,Rendah,1,Ringan,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Yuni Hidayat,7B,2024/2025,234,Sangat Baik,98.4,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Bahuwirya Kusumo,7A,2025/2026,200,Baik,84.4,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Enteng Farida,7A,2024/2025,202,Baik,75.0,Sedang,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Heru Kuswoyo,8B,2023/2024,185,Kurang,96.9,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Cakrabuana Melani,9A,2025/2026,239,Sangat Baik,73.6,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Maman Rajata,9B,2023/2024,223,Sangat Baik,80.6,Sedang,3,Sedang/Berat,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Oliva Maryati,9C,2025/2026,230,Sangat Baik,91.0,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Makuta Sirait,8B,2024/2025,184,Kurang,82.1,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Raina Hutasoit,9B,2025/2026,209,Baik,67.1,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Okta Mansur,9C,2023/2024,222,Sangat Baik,65.6,Rendah,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Novi Anggriawan,8A,2025/2026,221,Sangat Baik,94.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Yuliana Aryani,7B,2024/2025,240,Sangat Baik,75.2,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Saadat Halimah,8A,2023/2024,202,Baik,65.4,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Ratih Budiman,8A,2023/2024,190,Kurang,82.7,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Bakiadi Wastuti,7C,2024/2025,238,Sangat Baik,88.7,Tinggi,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Rendah
Lega Ardianto,9B,2024/2025,229,Sangat Baik,69.2,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Sutan Sakti Zulaika,9C,2025/2026,211,Baik,96.3,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Raisa Permata,7C,2023/2024,239,Sangat Baik,97.8,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Diah Setiawan,7C,2024/2025,196,Kurang,91.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Natalia Wacana,9B,2023/2024,199,Kurang,81.3,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Salsabila Pranowo,9A,2023/2024,204,Baik,87.1,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Erik Pratiwi,8C,2023/2024,188,Kurang,96.3,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tantri Laksita,9B,2023/2024,183,Kurang,89.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Baktiadi Halimah,9B,2023/2024,217,Baik,79.3,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Nadia Nurdiyanti,9C,2023/2024,219,Baik,96.2,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Kenari Mahendra,7B,2025/2026,235,Sangat Baik,94.0,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Karman Waskita,7C,2024/2025,192,Kurang,83.6,Sedang,2,Ringan,Tidak Bekerja,< Rp 2.000.000,Lancar,Yatim,Sedang
Yani Simanjuntak,7B,2025/2026,185,Kurang,89.4,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Piatu,Sedang
Luis Hariyah,8A,2023/2024,227,Sangat Baik,76.6,Sedang,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Ika Prasetya,8B,2023/2024,220,Sangat Baik,80.5,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Laras Sihotang,9B,2023/2024,221,Sangat Baik,66.8,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Padma Nashiruddin,7B,2023/2024,231,Sangat Baik,76.1,Sedang,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Ganda Utami,9C,2023/2024,203,Baik,98.5,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Paris Kuswandari,7B,2023/2024,208,Baik,77.1,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Nabila Pradana,7B,2023/2024,209,Baik,79.5,Sedang,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Jessica Mulyani,8B,2024/2025,196,Kurang,95.9,Tinggi,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Sarah Nababan,7B,2023/2024,193,Kurang,78.3,Sedang,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Mila Wijaya,8C,2023/2024,215,Baik,65.8,Rendah,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Irwan Napitupulu,8C,2023/2024,214,Baik,80.6,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Raditya Zulaika,8B,2024/2025,197,Kurang,66.3,Rendah,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Icha Manullang,9A,2025/2026,194,Kurang,66.2,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Jane Farida,8B,2023/2024,202,Baik,90.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
